"b""Heart's Executive DIARY - 2021 (Black Color - Joint Design)""",b'Tk.480'
,
"b""Heart's Executive DIARY - 2021 (Black Color - Joint Design)""",b'Tk.400'
,
"b""Heart's Executive DIARY - 2021 (Black Color - End Stitching Design)""",b'Tk.400'
,
"b""Heart's Executive DIARY - 2021 (Black and Choclate Color)""",b'Tk.400'
,
b'Derma Plus Handwash Levender - 250 ml',b'Tk.130'
,
b'Redleaf Legal Diary (Brown) - 2021 (For 1 Year)',b'Tk.500'
,
b'Redleaf Legal Diary (Blue) - 2021 (For 1 Year)',b'Tk.500'
,
b'Redleaf Legal Diary (Blue) - 2021 (For 1 Year) - Business Card Holder',b'Tk.500'
,
b'Redleaf Legal Diary (Brown) - 2021 (For 1 Year) - Business Card Holder',b'Tk.500'
,
b'Redleaf Legal Diary (Red) - 2021 (For 1 Year) - Business Card Holder',b'Tk.500'
,
b'Redleaf Legal Diary (Red) - 2021 (For 1 Year)',b'Tk.500'
,
"b""Heart's General DIARY - 2021 (Brown and Off White Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Red and Off White Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Red and Black Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Green, Light Green Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Blue Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (White And Maroon Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Maroon And White Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Black and Yellow Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Maroon, Light Maroon Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Purple, Yellow, Marron Color)""",b'Tk.150'
,
"b""Heart's General DIARY - 2021 (Purple Color and Flower Design)""",b'Tk.150'
,
b'Hearts General Diary-2021(Yellow and Maroon Color Design)',b'Tk.150'
,
b'China Steel Pencil \xe2\x80\x8dand Pen Box - 1 Pcs - Cocacola Design',b'Tk.108'
,
b'Matador Officemate Cutter Knife Small - 01 Pcs (Any Color) - S-43 (Anti Cutter)',b'Tk.50'
,
"b'Al Haramain Urbanist Femme Products Gift Pack For Women - Body Spray, Body Lotion, Perfume, Towel.'","b'Tk.3,400'"
,
b'Fresh Legal Paper - 80 GSM (500 Page) - 1 Pack',b'Tk.356'
,
b'Couple Combo Package 1- Kayani Dastoor and Faith With free Sahar Ragba 45g For Men and Women - Lafz Body Spray - Buy 2 Get 1 Free',b'Tk.560'
,
b'Kool Shaving Foam-400 ml',b'Tk.240'
,
b'Kool Shaving Cream (Monsoon)-100 gm',b'Tk.85'
,
b'Kool Deodorant Body Spray (Ignite)-150 ml',b'Tk.220'
,
b'Kool After Shave Lotion-50 ml',b'Tk.115'
,
b'Supermom Baby Diaper-Large Size(9-14kg)-3 Pcs',b'Tk.115'
,
b'Supermom Baby Diaper-Small Size(0-8kg)-28 Pcs (New Born)',b'Tk.675'
,
b'Valentine For You Eau De Parfume - 100ml',"b'Tk.1,080'"
,
b'Wedding Gift Voucher',b'Tk. 500 - 10000'
,
b'Anniversary Day Gift Voucher',b'Tk. 500 - 10000'
,
b'Titi Artist water color Brush (1-12)',b'Tk.400'
,
b'Al-Nuaim MIDNIGHT OUDH Attar - 20 ml (Roll On)',b'Tk.360'
,
b'Atlas Junior Glue Pen Liquid -40gm (1 Pcs)',b'Tk.27'
,
b'Atlas Junior Trangulr Glue sticks - 8gm - 1 Pcs',b'Tk.28'
,
b'Atlas Junior Tri Half colour pencil - 12 colour',b'Tk.76'
,
b'Atlas Junior Gel Pastel - 12 colour',b'Tk.237'
,
b'Matador Officemate Gems Clip - 100 Pcs',b'Tk.35'
,
b'Matador File Holder - 1 Pcs (Any Color)',b'Tk.100'
,
b'Matador Liner Bag - 1 Pcs (Any Color)',b'Tk.45'
,
b'Matador Markpro Permanent Marker 5000 -Black Ink - 1 Pcs',b'Tk.35'
,
b'Matador i-teen RIO Pencil -2B',b'Tk.108'
,
b'Matador i-teen Pencil -2B  (12 Pcs)',b'Tk.108'
,
b'Matador\xc2\xa0Signature\xc2\xa0Gel\xc2\xa0Pen - 1 Pcs (A perfect Gift pen)',b'Tk.30'
,
b'Matador i-teen Ball Pen -Black Ink (6 Pcs)',b'Tk.60'
,
b'Matador Hi-School Colors Ball Pen - 5 Color (5 Pcs)',b'Tk.30'
,
b'Matador Hi-School Ball Pen -Black Ink (12 Pcs)',b'Tk.60'
,
b'Matador I-teen Grip Ball Pen -Black Ink (6 Pcs)',b'Tk.60'
,
b'Matador Woodmark Ball Pen -Black Ink (6 Pcs)',b'Tk.60'
,
b'Matador Trio Ballpen -Black Ink (12 Pcs)',b'Tk.60'
,
b'Matador i-teen Rio Ball Pen -Black Ink (6 Pcs)',b'Tk.60'
,
b'Matador Glory Crystal Ball Pen - Black Ink (5 Pcs)',b'Tk.30'
,
b'Matador i-teen AROMA Ball Pen -Black Ink (6 Pcs)',b'Tk.45'
,
b'Matador All-time Ball Pen -Black Ink (6 Pcs)',b'Tk.36'
,
b'MBBS - Spiral Notebook Brown Cover (120 Pages) (RV_0080)',b'Tk.45'
,
b'Faber Castell Textliner - Yellow Color - 10 Pcs',b'Tk.315'
,
b'Fevikwik One Drop Adhesive',b'Tk.7'
,
b'Fevicol Super Glue Vertical Pack 3 gm',b'Tk.20'
,
b'Fevicryl No Stitch Fabric Glue - 30 ml (Bottle Pack)',b'Tk.30'
,
b'Fevicryl Liquid Embroidery-GLITTER GREEN - 20 ml',b'Tk.50'
,
b'Fevicryl 3D Outliner (NP)  -GLITTER SILVER - 20 ml',b'Tk.50'
,
b'Fevicryl 3D Outliner (NP) -GLITTER GOLD - 20 ml',b'Tk.50'
,
b'Fevicryl 3D Outliner (NP) Glitter Green - 20 ml',b'Tk.50'
,
b'Fevicryl Glass Colour Kit (Solvent Based) - 85 ml',b'Tk.255'
,
