b'Fabrilife Premium 5 Layer Spider Kids Designer Edition Cotton Mask',b'Tk.220',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
"b""Yuxin Magic Rubik's Cube (3x3x3)-1 pcs""",b'Tk.100',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
"b'Atlas Junior Combo Package -2 (Focus Pencil-12 Pcs, Half Color Pencil-12, Glue Pen-1 Pcs, Sharpener-1 Pcs, Eraser-1 Pcs)'",b'Tk.160',b'\xe0\xa6\x8f\xe0\xa6\x9f\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa6\xbe \xe0\xa6\x95\xe0\xa7\x8b.\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87.\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
"b'Atlas Junior Combo Package -1 (Smart Pencil-12 Pcs, Color Pencil-12, Glue Pen-1 Pcs, Sharpener-1 Pcs, Eraser-1 Pcs)'",b'Tk.295',b'\xe0\xa6\x8f\xe0\xa6\x9f\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\xaf\xe0\xa6\xbc\xe0\xa6\xbe \xe0\xa6\x95\xe0\xa7\x8b.\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87.\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Derma Plus Handwash Rose - 250 ml',b'Tk.130',b'\xe0\xa6\x87\xe0\xa6\x89\xe0\xa6\xa8\xe0\xa6\xbf\xe0\xa6\x97\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa7\x8b \xe0\xa6\x95\xe0\xa6\xb8\xe0\xa6\xae\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa6\xb8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c'
b'Sepnil Instant Hand Sanitizer - 200 ml',b'Tk.185',b'\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x95\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x9f\xe0\xa7\x9f\xe0\xa6\xb2\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x83'
b'Fevicryl Acrylic Colours (DARK ULTRAMARINE) - 200 ml',b'Tk.200',b'\xe0\xa6\xaa\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xbf \xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xb8 (\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf) \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xad\xe0\xa7\x87\xe0\xa6\x9f \xe0\xa6\xb2\xe0\xa6\xbf:'
b'Fevicryl Fabric Glue - 30 ml (Cone Pack)',b'Tk.25',b'\xe0\xa6\xaa\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xbf \xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xb8 (\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf) \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xad\xe0\xa7\x87\xe0\xa6\x9f \xe0\xa6\xb2\xe0\xa6\xbf:'
b'Fevicryl Glass Colour Kit (water Based) - 115 ml',b'Tk.200',b'\xe0\xa6\xaa\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xbf \xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xb8 (\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf) \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xad\xe0\xa7\x87\xe0\xa6\x9f \xe0\xa6\xb2\xe0\xa6\xbf:'
b'Acron Students\xe2\x80\x99 Poster Colours Lilliput Kit -60 ml (10ml bottles of 6 shades)',b'Tk.125',b'\xe0\xa6\xaa\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xbf \xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xb8 (\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf) \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xad\xe0\xa7\x87\xe0\xa6\x9f \xe0\xa6\xb2\xe0\xa6\xbf:'
